HOURS_DATASCIENCE,HOURS_BACKEND,HOURS_FRONTEND,NUM_COURSES_BEGINNER_DATASCIENCE,NUM_COURSES_BEGINNER_BACKEND,NUM_COURSES_BEGINNER_FRONTEND,NUM_COURSES_ADVANCED_DATASCIENCE,NUM_COURSES_ADVANCED_BACKEND,NUM_COURSES_ADVANCED_FRONTEND,AVG_SCORE_DATASCIENCE,AVG_SCORE_BACKEND,AVG_SCORE_FRONTEND,target
88,102,31,7,2,2,1,5,4,54,76,79,beginner_backend
71,40,40,5,6,4,5,7,2,45,72,58,advanced_data_science
0,60,31,3,2,5,8,2,3,63,75,74,advanced_backend
27,53,7,6,4,7,6,0,3,79,71,43,advanced_backend
27,47,17,4,3,4,1,7,2,91,55,56,beginner_front_end
0,70,43,7,4,11,3,4,10,74,58,69,advanced_backend
24,69,49,3,3,0,3,6,4,40,79,76,advanced_front_end
19,49,25,6,6,3,4,3,4,80,86,73,advanced_backend
33,78,0,1,2,6,0,3,4,66,71,50,beginner_backend
32,61,3,2,4,4,2,5,1,85,64,63,beginner_backend
20,50,17,1,1,2,4,4,4,67,81,72,beginner_backend
51,34,18,10,5,6,2,4,4,75,59,86,advanced_backend
97,16,48,3,7,8,3,5,0,53,59,76,beginner_front_end
63,74,22,6,5,5,7,6,2,52,59,61,advanced_data_science
0,0,46,3,2,8,1,0,4,48,71,74,beginner_data_science
29,60,47,6,2,6,4,5,6,72,65,70,advanced_backend
72,68,50,3,4,1,8,9,3,62,22,51,advanced_data_science
55,33,42,2,6,4,3,4,1,79,67,56,beginner_front_end
32,43,30,1,4,1,0,7,5,73,35,46,beginner_front_end
41,64,37,4,4,6,3,5,2,57,53,57,advanced_data_science
56,80,7,6,4,3,4,4,3,70,71,70,beginner_backend
47,20,9,3,4,2,3,4,4,78,60,57,beginner_front_end
24,32,36,2,1,3,0,6,5,37,68,54,advanced_front_end
84,0,31,4,6,7,4,6,1,61,54,76,beginner_front_end
35,72,65,7,0,6,4,5,3,71,47,100,advanced_data_science
63,72,47,3,2,3,4,3,5,77,75,59,advanced_backend
40,55,35,4,5,2,5,6,4,82,45,47,beginner_front_end
28,40,61,2,3,3,2,6,4,53,59,60,advanced_front_end
33,27,27,1,5,7,3,4,2,57,69,79,beginner_data_science
40,42,12,4,2,6,2,5,3,58,62,72,advanced_data_science
41,48,68,4,4,0,3,1,6,53,63,66,beginner_data_science
0,74,64,4,4,3,3,6,4,66,71,58,advanced_front_end
24,42,11,6,6,5,7,2,4,65,63,64,advanced_backend
8,65,45,5,3,8,4,2,7,74,73,70,advanced_backend
22,6,35,5,1,1,3,6,4,80,60,63,beginner_front_end
28,64,33,4,2,1,3,2,4,80,83,68,beginner_backend
62,73,36,4,4,2,4,5,3,73,85,68,beginner_backend
15,35,36,0,2,7,1,6,2,45,71,79,beginner_data_science
56,58,65,3,5,5,6,3,0,33,72,57,beginner_data_science
52,78,29,4,3,6,3,7,6,50,69,75,advanced_data_science
34,32,64,3,4,2,7,3,6,71,81,81,beginner_backend
36,20,26,2,8,5,0,3,1,37,81,9,advanced_front_end
36,27,14,3,5,4,1,4,2,36,54,88,beginner_data_science
0,1,30,1,1,6,5,4,2,82,70,62,beginner_data_science
33,32,64,3,4,5,2,5,2,87,60,56,advanced_front_end
51,43,28,5,2,7,1,5,3,53,68,71,advanced_data_science
0,34,15,0,3,2,1,5,2,89,66,72,beginner_backend
71,16,12,0,5,4,3,5,2,64,49,60,beginner_front_end
15,39,44,3,8,1,3,3,0,77,100,70,advanced_front_end
19,18,39,8,1,6,1,6,5,91,87,85,advanced_backend
69,32,26,3,6,4,5,1,3,66,61,55,beginner_front_end
42,55,48,3,1,3,3,5,1,71,74,78,beginner_backend
52,43,34,2,6,4,4,4,2,62,52,55,beginner_front_end
47,55,30,3,4,3,2,4,3,75,48,42,beginner_front_end
25,41,21,2,2,0,10,0,4,76,74,90,advanced_backend
72,63,38,4,1,4,5,7,6,62,43,84,advanced_data_science
52,33,61,3,3,6,1,2,3,45,87,81,beginner_data_science
1,37,20,0,0,4,3,3,3,81,86,74,beginner_backend
14,98,5,7,2,5,3,7,2,82,52,76,advanced_data_science
40,19,57,1,2,4,2,3,3,60,77,73,beginner_data_science
65,11,22,2,3,4,0,3,0,56,46,61,beginner_front_end
24,25,84,6,1,7,1,2,3,67,89,71,beginner_data_science
38,49,7,2,3,3,0,6,0,86,35,40,beginner_front_end
0,14,29,2,4,2,5,7,1,67,57,76,beginner_backend
36,63,43,5,3,6,2,2,3,59,68,87,advanced_data_science
19,53,69,3,2,4,2,7,3,50,64,50,advanced_front_end
77,23,41,1,4,5,3,2,2,71,64,66,beginner_front_end
97,0,33,3,3,5,6,4,4,51,43,69,beginner_front_end
51,52,34,4,1,0,5,8,3,50,63,88,beginner_backend
47,64,35,3,6,0,3,4,2,34,84,60,advanced_front_end
31,50,28,6,10,3,5,6,8,83,92,67,beginner_front_end
15,3,77,2,0,5,3,3,3,43,84,60,beginner_data_science
29,28,26,3,4,4,4,4,2,50,58,76,beginner_data_science
45,1,58,2,5,4,6,7,3,64,60,77,beginner_front_end
37,38,41,2,5,6,2,4,3,76,76,82,beginner_data_science
32,108,0,6,3,5,7,6,4,59,58,73,advanced_data_science
75,66,57,5,2,4,6,9,6,42,55,62,advanced_data_science
10,58,14,3,2,0,0,2,5,93,58,78,beginner_backend
2,36,12,3,3,5,10,2,6,61,82,59,advanced_backend
6,5,0,9,6,5,4,1,5,90,83,79,advanced_backend
36,3,12,0,7,4,1,6,2,78,64,86,beginner_front_end
31,32,31,3,3,3,3,3,4,55,63,77,beginner_data_science
53,47,55,4,5,2,3,4,1,70,46,66,advanced_data_science
70,32,37,3,6,1,8,6,3,42,57,62,advanced_data_science
49,69,11,5,3,4,5,8,4,58,68,71,advanced_data_science
30,33,55,4,0,4,5,5,7,87,84,88,advanced_backend
35,69,66,4,3,3,5,5,5,72,69,76,advanced_front_end
33,25,55,4,4,6,2,5,4,65,57,39,advanced_front_end
24,44,2,3,2,3,5,5,3,71,63,65,beginner_backend
39,28,53,1,5,1,4,4,5,49,69,83,beginner_data_science
13,64,55,2,6,6,5,6,3,63,61,33,advanced_front_end
65,52,52,2,5,4,6,5,2,67,72,67,beginner_data_science
39,46,29,5,7,4,4,5,4,58,85,58,advanced_front_end
74,16,7,4,4,5,2,4,5,65,48,56,beginner_front_end
47,46,3,6,1,7,4,8,4,49,50,49,advanced_data_science
30,43,78,4,0,9,6,1,1,47,90,53,beginner_data_science
46,51,28,4,5,4,2,10,0,70,45,63,beginner_backend
53,49,31,7,2,7,2,7,2,58,72,54,advanced_data_science
13,102,66,5,4,6,5,3,2,56,51,55,beginner_data_science
30,40,74,2,5,3,4,5,2,76,45,73,advanced_front_end
70,28,46,2,7,6,5,3,1,54,57,68,beginner_front_end
35,36,53,5,1,2,5,6,4,71,77,100,beginner_backend
10,21,53,3,3,3,6,6,1,82,93,84,beginner_backend
65,40,58,4,2,6,1,4,2,67,67,68,advanced_data_science
14,59,37,6,4,7,4,4,4,68,69,57,advanced_backend
35,41,0,4,4,1,3,0,4,86,71,52,beginner_front_end
40,59,42,3,7,0,5,0,4,71,73,41,beginner_front_end
63,57,56,5,3,1,4,3,5,58,65,72,beginner_data_science
35,52,20,3,4,2,0,8,0,90,45,57,beginner_backend
21,33,33,4,5,2,3,6,4,85,73,61,beginner_front_end
48,34,57,2,5,0,4,6,3,67,77,55,beginner_front_end
74,2,14,2,5,4,3,5,4,67,40,61,beginner_front_end
70,35,37,7,3,4,3,2,0,66,46,73,advanced_data_science
1,19,27,0,3,5,4,4,2,77,53,55,beginner_backend
68,46,50,1,5,7,4,4,1,70,97,78,beginner_data_science
0,47,2,4,6,5,7,0,6,70,88,63,advanced_backend
30,29,39,5,4,1,4,1,3,52,58,71,beginner_data_science
29,45,27,6,3,7,1,3,4,60,74,96,advanced_data_science
23,21,0,5,3,4,0,4,1,70,54,67,advanced_data_science
79,81,44,3,0,3,7,5,0,72,88,81,beginner_backend
0,18,21,3,7,5,2,6,4,80,64,51,beginner_backend
49,37,72,2,4,2,4,5,1,75,66,71,beginner_backend
49,87,27,6,3,5,4,5,4,68,31,76,advanced_data_science
30,45,29,6,4,1,0,3,1,75,66,54,beginner_front_end
62,39,50,0,6,3,1,5,3,57,34,47,beginner_front_end
36,79,46,0,1,1,7,0,3,70,81,76,advanced_backend
13,39,35,3,4,4,1,5,4,66,70,66,beginner_backend
27,36,44,4,5,8,0,3,4,74,84,88,beginner_data_science
0,66,67,3,5,0,3,5,3,66,70,77,advanced_front_end
42,68,37,5,2,6,6,1,5,76,58,64,advanced_backend
70,85,47,1,0,1,3,2,5,64,87,72,beginner_backend
10,23,41,4,1,7,6,3,2,61,68,57,beginner_data_science
12,41,18,7,2,4,0,0,6,53,59,88,beginner_data_science
15,48,51,9,4,9,2,5,7,79,62,82,advanced_backend
51,44,16,5,3,2,5,1,1,72,73,77,advanced_backend
52,51,6,2,4,3,5,1,5,65,83,58,advanced_backend
36,0,66,1,0,3,0,6,3,60,65,67,advanced_front_end
12,32,25,1,7,7,2,5,3,84,65,50,beginner_backend
59,23,44,2,6,6,3,4,1,60,55,67,beginner_front_end
36,66,26,6,4,4,3,4,2,71,48,75,advanced_data_science
16,38,33,7,4,3,7,2,4,75,77,79,advanced_backend
21,63,32,4,4,3,8,1,5,66,56,92,advanced_backend
24,18,39,2,5,2,2,4,4,54,59,78,beginner_data_science
58,36,55,2,5,4,3,6,4,66,38,51,beginner_front_end
57,75,48,7,8,5,2,3,0,56,69,6,advanced_front_end
54,76,28,5,2,2,5,5,4,53,81,83,beginner_backend
45,43,50,2,2,4,2,5,3,60,54,66,advanced_data_science
0,13,30,1,7,5,5,7,1,98,76,74,beginner_backend
2,63,37,3,7,1,3,5,3,53,85,65,advanced_front_end
62,50,35,4,9,5,5,4,2,66,71,46,advanced_front_end
50,68,26,6,2,6,5,7,2,56,47,46,advanced_data_science
46,35,32,2,4,2,4,4,3,54,62,78,beginner_data_science
32,60,13,4,4,3,3,5,1,76,60,69,beginner_backend
16,57,39,3,7,3,5,5,5,54,86,66,advanced_front_end
27,38,37,2,6,5,6,5,2,80,79,71,advanced_front_end
20,99,71,6,8,3,4,3,0,93,60,43,advanced_front_end
82,25,20,4,10,4,5,3,1,82,71,66,beginner_front_end
35,20,40,4,0,5,3,5,9,100,100,76,advanced_backend
51,39,31,2,1,0,9,1,3,76,76,100,advanced_backend
31,49,26,3,4,2,3,7,1,62,50,46,advanced_data_science
23,5,22,1,2,1,3,6,4,76,62,80,beginner_data_science
31,31,55,1,6,2,1,4,0,55,68,43,advanced_front_end
24,45,8,1,2,1,0,8,2,93,48,45,beginner_front_end
20,51,23,4,1,6,2,4,6,52,52,81,advanced_data_science
48,51,33,2,2,4,4,4,7,54,71,66,beginner_backend
44,53,30,7,2,9,1,2,4,58,80,98,advanced_data_science
62,12,11,7,3,8,0,4,2,35,84,61,advanced_data_science
1,52,33,3,5,4,4,6,6,66,87,70,advanced_front_end
55,55,46,4,8,2,4,4,4,65,61,52,beginner_front_end
14,0,53,0,3,5,3,6,2,65,36,66,beginner_data_science
61,26,42,0,3,0,3,7,3,65,31,46,beginner_front_end
0,35,54,0,4,6,4,6,3,74,67,54,advanced_front_end
19,99,63,3,3,0,6,6,4,56,64,91,advanced_front_end
22,51,36,5,4,6,4,2,6,79,79,74,advanced_backend
32,62,55,5,4,5,0,0,5,39,71,81,beginner_data_science
41,49,35,6,6,4,6,6,1,65,59,70,advanced_data_science
35,59,56,1,1,4,6,7,8,56,79,80,advanced_backend
54,51,81,5,3,0,1,0,6,48,61,71,beginner_data_science
53,51,43,3,7,5,4,4,3,60,76,43,advanced_front_end
45,30,61,6,5,0,0,1,6,70,61,79,beginner_data_science
6,49,56,2,6,0,1,3,3,38,72,77,advanced_front_end
19,42,22,6,1,2,8,1,2,79,62,98,advanced_backend
78,44,32,3,7,1,3,4,2,42,88,55,advanced_front_end
30,98,45,3,3,5,5,6,4,62,40,77,advanced_data_science
0,63,24,6,4,9,4,2,5,74,72,54,advanced_backend
31,77,21,4,4,7,2,2,4,71,99,64,beginner_backend
29,27,0,2,2,0,0,4,3,83,69,50,beginner_front_end
49,45,0,4,3,2,0,8,6,87,49,43,beginner_front_end
45,24,43,2,4,5,2,8,1,76,45,66,beginner_front_end
0,14,29,2,5,2,3,5,4,82,69,79,beginner_backend
47,55,22,8,1,8,2,3,4,64,75,96,advanced_data_science
62,77,62,7,7,3,0,3,4,65,66,85,beginner_data_science
41,48,0,6,2,8,1,5,3,59,73,80,advanced_data_science
54,66,10,2,0,3,7,2,6,61,73,75,beginner_backend
32,0,28,0,4,8,1,7,1,57,81,84,beginner_data_science
78,84,32,5,0,0,0,6,3,53,59,70,beginner_backend
28,34,54,3,4,0,0,5,4,45,79,67,advanced_front_end
32,68,34,3,6,3,4,4,3,62,85,62,advanced_front_end
43,34,27,2,7,3,3,5,3,77,63,56,beginner_front_end
19,45,36,9,4,7,3,5,5,76,61,82,advanced_backend
26,15,43,3,2,8,4,4,2,95,90,64,beginner_data_science
88,24,52,3,7,5,4,4,1,50,56,61,beginner_front_end
45,37,20,5,2,5,2,3,2,60,49,68,advanced_data_science
37,84,7,5,3,4,1,5,1,63,76,64,beginner_backend
66,18,47,3,7,6,3,5,2,60,55,64,beginner_front_end
58,58,6,9,2,7,5,5,3,52,77,79,advanced_data_science
36,56,51,5,1,7,5,4,7,83,75,60,advanced_backend
50,46,35,6,6,3,1,3,5,40,96,38,advanced_front_end
19,41,50,3,3,3,2,7,4,49,78,56,advanced_front_end
56,95,46,7,2,8,3,8,3,64,68,76,advanced_data_science
70,41,2,5,8,6,3,2,4,68,75,63,beginner_front_end
2,8,24,3,3,9,0,2,3,58,61,83,beginner_data_science
59,3,60,3,1,2,0,5,3,47,71,62,advanced_front_end
65,25,50,2,6,3,4,5,2,54,60,58,beginner_front_end
53,41,8,6,3,4,4,6,1,53,59,60,advanced_data_science
0,44,16,1,7,5,1,5,1,100,89,72,beginner_backend
0,74,64,4,4,2,4,7,5,62,79,75,advanced_front_end
68,78,2,3,0,2,4,1,3,63,42,43,beginner_front_end
0,11,43,3,1,8,4,1,2,63,72,58,beginner_data_science
56,77,32,5,4,6,6,5,4,42,59,74,advanced_data_science
52,38,48,4,6,5,6,6,4,64,75,85,beginner_front_end
7,47,33,3,6,0,3,6,2,85,86,54,beginner_front_end
28,39,22,6,5,6,6,2,7,78,70,67,advanced_backend
80,16,14,4,7,6,3,4,4,59,59,69,beginner_front_end
23,21,55,2,5,2,2,6,3,62,79,70,advanced_front_end
53,80,10,2,3,4,3,2,6,68,68,65,beginner_backend
55,79,42,5,4,5,4,5,4,61,48,73,advanced_data_science
47,15,25,3,4,2,3,5,1,68,67,63,beginner_front_end
36,69,26,3,8,0,3,5,3,23,90,57,advanced_front_end
63,26,53,2,4,3,2,6,3,60,41,52,beginner_front_end
51,57,50,1,2,4,2,4,6,57,78,73,beginner_backend
26,58,34,5,1,5,7,4,5,64,63,75,advanced_backend
17,39,43,3,4,4,4,7,6,67,76,84,advanced_front_end
57,19,28,3,4,4,5,6,3,76,59,62,beginner_front_end
51,56,60,5,4,3,6,7,0,69,66,77,beginner_backend
0,52,3,1,1,0,1,1,2,93,81,45,beginner_front_end
62,39,69,3,5,0,5,4,4,70,84,74,beginner_data_science
26,55,14,4,4,3,4,6,1,87,83,73,beginner_backend
22,88,30,3,7,1,3,6,4,85,75,42,beginner_front_end
26,66,32,4,3,2,2,1,6,70,85,79,beginner_backend
7,91,70,5,1,7,6,3,5,71,69,56,advanced_backend
41,63,81,5,2,3,7,4,1,33,43,35,beginner_data_science
18,49,59,3,4,5,3,6,3,61,75,45,advanced_front_end
65,10,35,4,7,5,3,5,3,60,68,72,beginner_front_end
12,17,44,1,2,5,3,4,1,75,54,54,beginner_data_science
87,15,20,1,8,4,6,1,3,49,63,64,beginner_front_end
46,37,62,3,3,8,4,4,2,65,98,79,beginner_data_science
9,48,14,1,3,3,3,3,3,85,80,64,beginner_backend
33,72,30,3,8,1,6,4,2,70,79,80,advanced_front_end
72,28,1,6,3,6,2,7,3,54,73,63,advanced_data_science
3,4,33,1,3,8,2,4,1,61,55,70,beginner_data_science
48,62,55,6,3,1,3,9,0,65,64,86,beginner_backend
63,52,67,4,5,4,2,2,2,85,59,51,advanced_front_end
51,34,34,5,4,3,1,4,0,71,68,70,advanced_data_science
74,49,31,5,5,2,3,3,3,68,69,78,advanced_front_end
8,46,43,8,4,12,0,3,9,84,76,94,advanced_backend
0,87,62,2,0,9,4,1,5,88,87,66,advanced_backend
36,42,12,4,4,4,7,2,7,70,76,70,advanced_backend
13,58,45,7,1,9,5,2,8,84,61,84,advanced_backend
16,58,0,5,4,4,3,7,1,63,62,65,advanced_data_science
116,12,39,2,10,5,6,3,3,36,49,66,beginner_front_end
4,3,40,4,6,4,0,0,0,57,80,75,beginner_data_science
30,69,35,4,4,2,3,5,0,77,38,67,advanced_data_science
63,48,46,0,5,3,3,8,1,59,63,79,beginner_data_science
0,81,57,2,2,4,9,1,7,66,80,80,advanced_backend
32,52,63,4,5,4,1,3,1,69,62,39,advanced_front_end
56,37,44,1,3,1,4,5,2,56,53,52,beginner_front_end
44,68,24,2,1,2,1,6,3,69,70,74,beginner_backend
13,38,32,1,5,4,2,4,2,60,60,47,advanced_front_end
22,61,19,5,4,7,3,0,4,78,72,62,advanced_backend
14,8,45,2,1,6,5,2,2,61,68,55,beginner_data_science
23,58,25,2,3,7,1,2,4,81,80,57,beginner_backend
21,31,45,3,2,2,0,8,3,82,45,56,beginner_front_end
71,54,3,6,7,5,3,6,6,77,56,47,beginner_front_end
43,41,50,1,3,6,3,3,2,41,46,64,beginner_data_science
28,35,51,3,5,5,2,4,3,60,72,40,advanced_front_end
25,44,45,5,2,4,1,2,4,40,70,78,beginner_data_science
72,6,56,2,6,6,6,6,4,57,48,75,beginner_front_end
87,98,37,6,1,2,4,7,0,52,78,80,beginner_backend
38,57,44,6,5,5,2,7,2,77,56,58,advanced_data_science
18,33,46,4,4,3,2,6,3,70,60,70,beginner_backend
45,70,63,6,4,3,3,5,5,58,81,60,advanced_front_end
49,70,16,5,3,4,4,6,3,67,61,80,advanced_data_science
49,50,64,3,3,4,4,4,5,58,40,78,advanced_data_science
62,62,53,4,2,5,3,6,5,65,43,83,advanced_data_science
25,65,5,3,3,2,2,6,3,66,72,76,beginner_backend
34,27,26,2,6,6,3,5,2,80,88,89,beginner_data_science
35,91,65,5,2,4,7,3,3,58,46,85,advanced_data_science
65,47,33,5,1,8,0,4,4,54,55,69,advanced_data_science
64,53,26,3,8,0,3,4,1,45,96,73,advanced_front_end
15,40,27,8,4,3,5,0,2,95,70,79,advanced_backend
26,24,12,7,5,7,3,6,8,65,83,70,advanced_backend
12,26,12,2,5,2,4,6,3,57,63,87,beginner_data_science
77,6,22,1,4,3,3,5,3,54,74,76,beginner_front_end
35,39,17,5,2,6,5,1,6,80,75,84,advanced_backend
46,44,55,4,0,0,9,6,2,54,84,97,beginner_backend
35,40,88,0,3,0,1,4,2,86,25,76,advanced_data_science
38,48,79,4,3,8,1,3,4,50,90,74,beginner_data_science
67,35,0,2,6,2,3,4,5,67,66,56,beginner_front_end
44,47,64,3,6,3,6,6,3,70,74,70,advanced_front_end
20,46,45,4,6,6,3,4,2,84,84,64,beginner_backend
48,81,14,5,2,1,4,3,3,71,76,74,beginner_backend
41,45,80,3,2,6,2,2,3,40,58,58,beginner_data_science
11,45,26,2,2,3,6,1,3,85,83,69,advanced_backend
41,28,50,4,4,4,8,8,0,82,68,74,beginner_backend
13,86,31,5,5,0,4,6,3,97,74,42,beginner_front_end
69,70,51,3,8,2,4,3,3,43,72,85,advanced_front_end
8,5,4,9,4,7,4,2,7,100,87,66,advanced_backend
34,39,65,3,6,1,4,3,1,69,66,80,advanced_front_end
17,39,33,3,2,1,3,4,6,62,76,88,beginner_backend
22,27,78,4,0,0,0,7,5,48,78,73,advanced_front_end
36,78,56,3,2,4,7,4,5,58,66,65,advanced_backend
53,41,22,4,2,7,3,4,8,72,69,88,advanced_backend
11,52,17,3,3,3,2,4,2,78,67,62,beginner_backend
16,46,27,0,3,5,4,2,4,100,95,64,beginner_backend
45,61,23,3,2,4,3,2,6,66,78,65,beginner_backend
47,38,6,6,4,4,4,4,1,62,55,59,advanced_data_science
39,31,29,3,6,4,2,5,4,41,71,46,advanced_front_end
0,64,63,4,6,5,3,5,4,61,68,43,advanced_front_end
16,43,31,1,2,4,4,1,7,65,69,67,beginner_backend
39,86,40,3,1,5,6,3,1,58,52,63,advanced_backend
64,35,39,8,4,4,1,3,1,74,74,83,advanced_data_science
53,42,14,5,1,0,2,10,3,56,47,86,beginner_backend
0,38,9,2,3,2,2,5,4,82,79,78,beginner_backend
45,55,6,6,2,7,3,4,3,55,70,77,advanced_data_science
49,20,27,6,3,4,5,4,5,76,65,67,advanced_backend
15,28,38,4,4,0,2,8,5,88,56,55,beginner_front_end
43,18,53,5,5,1,1,5,0,78,51,58,advanced_data_science
57,26,47,4,5,4,3,3,2,56,68,63,advanced_data_science
16,56,45,4,8,1,2,5,3,33,85,40,advanced_front_end
62,53,25,6,3,6,3,5,4,56,51,72,advanced_data_science
41,62,37,3,5,1,5,5,5,59,86,87,advanced_front_end
41,62,40,3,6,3,2,3,3,54,84,51,advanced_front_end
24,56,31,4,4,4,2,7,2,63,69,64,advanced_data_science
6,57,19,2,3,0,2,5,2,90,83,55,beginner_front_end
0,33,59,1,3,1,3,7,3,56,62,80,advanced_front_end
22,39,47,3,5,6,4,5,0,78,63,60,advanced_front_end
0,60,55,3,6,3,3,6,3,49,72,41,advanced_front_end
51,50,48,5,5,1,2,10,1,52,54,75,beginner_backend
56,19,46,2,6,7,4,5,0,68,38,33,beginner_front_end
11,7,24,7,3,4,6,6,8,88,83,84,advanced_backend
37,111,20,5,3,2,7,4,3,77,42,90,advanced_data_science
66,0,60,4,2,4,2,1,3,52,51,66,advanced_data_science
11,36,61,5,3,4,5,3,3,51,76,64,beginner_data_science
46,34,41,2,4,3,4,7,3,74,40,54,beginner_front_end
53,22,47,1,5,3,4,7,4,63,58,66,beginner_front_end
8,58,7,1,2,0,0,6,3,96,56,37,beginner_front_end
27,51,37,2,6,0,3,5,3,45,75,88,advanced_front_end
0,21,34,0,3,6,2,7,6,43,87,42,advanced_front_end
25,44,45,5,2,4,3,3,5,86,85,84,advanced_backend
57,43,27,6,2,3,4,4,2,67,60,92,advanced_data_science
14,34,35,4,0,2,1,7,1,84,61,59,beginner_front_end
0,89,52,4,3,5,7,0,0,61,66,69,advanced_backend
40,56,15,4,3,6,1,6,3,56,53,62,advanced_data_science
59,25,45,3,3,3,2,6,5,60,36,61,beginner_front_end
70,47,31,4,3,2,6,8,3,61,50,64,advanced_data_science
16,27,38,3,3,2,1,2,6,58,67,80,beginner_data_science
21,73,40,3,3,4,8,2,5,65,68,54,advanced_backend
0,25,45,5,3,7,2,1,4,57,85,69,beginner_data_science
0,36,42,1,5,3,2,6,4,44,74,54,advanced_front_end
35,88,31,5,3,3,6,6,3,71,42,79,advanced_data_science
63,58,56,6,3,6,6,6,0,53,57,48,advanced_data_science
38,26,21,1,3,4,6,5,4,75,57,58,beginner_backend
25,0,26,0,4,4,1,7,4,46,64,63,advanced_front_end
4,57,19,5,2,2,0,7,3,99,60,49,beginner_front_end
51,45,15,4,8,1,6,4,4,79,94,60,beginner_front_end
69,51,30,2,8,2,7,4,1,77,65,82,advanced_front_end
30,22,11,1,4,2,3,3,1,84,76,62,beginner_front_end
0,38,38,4,1,0,2,9,5,96,55,47,beginner_front_end
43,54,64,3,2,6,3,3,2,45,58,54,beginner_data_science
66,44,43,1,5,2,4,5,3,48,73,80,advanced_front_end
44,8,31,1,7,5,2,4,2,44,64,36,advanced_front_end
62,56,78,5,4,4,3,3,4,76,70,67,beginner_data_science
9,59,53,1,4,5,4,5,2,75,55,52,advanced_front_end
49,59,30,7,2,6,3,4,3,66,66,80,advanced_data_science
23,28,83,3,1,3,1,7,3,66,53,63,advanced_front_end
30,52,9,3,2,5,6,4,1,78,77,61,beginner_backend
29,16,31,4,5,2,1,3,4,73,67,86,beginner_data_science
8,23,50,5,4,4,4,2,3,56,72,68,beginner_data_science
58,36,78,1,5,3,5,6,4,51,62,60,advanced_data_science
51,52,52,3,4,3,5,7,3,64,72,86,beginner_backend
21,0,38,1,2,3,5,6,1,60,82,81,beginner_data_science
0,56,41,0,3,1,2,6,6,45,89,82,advanced_front_end
19,60,12,4,4,5,2,6,3,58,43,57,advanced_data_science
23,73,38,5,3,11,1,1,8,84,71,58,advanced_backend
28,48,56,5,3,3,3,2,5,72,74,70,beginner_data_science
47,60,45,2,5,2,1,5,2,66,45,39,beginner_front_end
40,38,30,2,2,4,4,4,3,74,57,53,beginner_backend
94,44,21,3,8,8,1,5,1,53,60,67,beginner_front_end
77,17,22,1,10,8,3,7,3,65,55,71,beginner_front_end
70,75,39,4,0,0,2,6,3,49,42,63,beginner_backend
54,36,72,4,3,6,3,2,2,56,69,62,beginner_data_science
32,73,50,5,1,11,2,2,8,85,74,55,advanced_backend
81,54,14,3,5,5,2,3,4,63,45,49,beginner_front_end
40,30,68,2,1,10,3,4,1,65,100,75,beginner_data_science
27,0,43,3,4,4,3,8,2,76,66,81,beginner_backend
50,33,1,6,8,3,2,0,4,73,81,73,advanced_backend
59,9,72,4,6,5,3,4,0,53,76,79,beginner_front_end
16,75,67,4,7,5,2,4,1,61,72,16,advanced_front_end
52,72,44,3,6,3,5,4,3,58,74,58,advanced_front_end
