EFECTIVO,INVENTARIO,EQ_OFICINA,EQ_TRANSPORTE,TERRENOS_Y_CONSTRUCCIONES,CXP,CONTRIBUCIONES_X_PAGAR,ANTICIPOS_CTE,UTILIDADES_ACUMULADAS,UTILIDAD_O_PERDIDA,TOTAL_VENTAS,TOTAL_COMPRAS,UTILIDAD_BRUTA,TOTAL_GASTOS,target
1744163.1849734443,9402.575862,89414.8673,118601.3935,-9847258.066,23878609.08546595,443878.82987499,201326.444,9759516.651,475258.8186,12869851.63,932851.2687,286381.7611,1464896.3569999998,Aceptado
105685.4946,6950878.052999999,4719144.528940596,514592.5606,4426614.406,19808599.6,173567.2013,3183753.36,11312118.06,-6918360.97,64562032.22,56316194.69,6482670.555,14809397.148454411,Aceptado
1744163.1849734443,1072867.182,4719144.528940596,1325290.442,4398821.025,19595574.34,215127.6404,460188.9919,6553506.067000001,-2007358.47,84634662.23,159304449.44020227,15113218.086732317,11155912.62,Aceptado
363051.2553,6735016.677,3078016.9289999995,465855.3768,4786023.786,23468661.47,194318.2406,3234341.438,9041948.351255577,-5096869.78,80853612.46,13777679.92,2481210.509,6022768.222,Aceptado
5032828.056,9237263.143541662,23152.29331,538371.5883,-11361090.38,4333484.454,183698.0048,2552583.317,4705570.239,-1215433.923,81264766.64,74257411.07,11849955.55,14809397.148454411,Aceptado
57098.18559,60458.79219,36109.41227,27117.23405,558628.8356,178877.9922,84765.7221,27423.3155,-6723219.811000001,-2674636.586,809470.0964,159304449.44020227,656508.5913,1807744.005,Aceptado
112211.3366,3287775.747,423340.4711,176766.8297,4397205.252,17393306.57,176731.2673,3651735.984372101,2978687.131,-4219661.562,22199479.95,31102939.18,10263358.57,14809397.148454411,Aceptado
737157.0424,9237263.143541662,2692766.7830000003,877224.2707,-1751852.9170674267,23878609.08546595,703513.5531,3651735.984372101,9041948.351255577,-3245412.107912634,91910665.51,198574937.3,28155132.77,35262068.46,Sospechoso
4019484.2410000004,9237263.143541662,1710832.726,846122.6492,-1751852.9170674267,76755572.96,680566.1321,3651735.984372101,14308916.66,-3730905.7610000004,106858864.56770928,266897817.3,41522261.75,39465060.85,Aceptado
17178.77161,3348954.869,4719144.528940596,38217.05866,8709403.985,707759.5251,83340.10943,242909.7955,-13382702.6,-5847221.565,1204274.289,4070979.435,27274.1452,417445.7597,Aceptado
1125420.076,9547285.707,2032449.02,1209412.116,5079103.973,14310932.52,443878.82987499,5957324.1389999995,9041948.351255577,-1385737.85,64058957.77,19818029.76,15113218.086732317,9020125.156,Aceptado
478780.3208,16187973.99,10517845.5,1352859.1478094405,7882470.775,42160758.72,795557.7334,1370381.9730000002,5982367.09,-216081.7649,106858864.56770928,32974897.14,30663693.53,31276661.93,Aceptado
117205.9614,1014623.052,704836.5586,66895.67517,89478.70972,9221835.156,55137.74729,1732466.586,14779624.61,-7675057.818,22401630.34,11321560.82,291382.4726,1081337.788,Sospechoso
870303.2151,3548.391395,1018833.75,1352859.1478094405,-13579822.78,3501016.458,202200.4224,3651735.984372101,9041948.351255577,-77126.81015,19241372.86,11480363.28,5184224.968,10469404.12,Aceptado
86416.90624,4320282.414,741762.603,196357.1945,7526118.454,15325674.17,129532.2356,3651735.984372101,-7422944.484,-2975052.396,16128671.63,30805557.77,17700221.31,14809397.148454411,Aceptado
978903.1719,29564936.13,705900.9693,1352859.1478094405,5480713.177,23878609.08546595,429452.1112,3230057.288,9125091.774,-2779358.473,165196628.3,49683378.27,25766258.48,25957721.18,Aceptado
1744163.1849734443,9237263.143541662,273407.6003,2736461.4189999998,-577262.0,4659462.834,42221.257110000006,481292.8367,-2960625.4960000003,-346936.6206,87236675.24,76310625.5,14581493.62,10459157.5,Aceptado
6128822.453,9237263.143541662,5641362.331,2333825.1380000003,-6404448.9629999995,23624487.92,535132.6225,4510697.565,15267673.49,-1157633.913,196010532.1,159304449.44020227,14614312.02,21065411.56,Aceptado
357320.0198,21290792.44,177234.1455,129714.3589,7081284.244,24722723.89,247954.2759,125115.7688,9041948.351255577,-1240566.142,23179413.45,159304449.44020227,40849692.71,45369397.74,Aceptado
137703.49800000002,72971978.24,550253.4838,1628163.554,8577306.767,124923299.8,237000.9211,7687764.882999999,20850808.31,-5421626.204,499506625.8,93594095.97,40292561.38,25209013.26,Aceptado
162941.775,8843830.848,4719144.528940596,546774.6894,6719815.964,23878609.08546595,443878.82987499,937125.9882,5038068.972,-3964934.454,75421761.88,29452054.52,13979854.44,11425317.74,Aceptado
1182821.727,44485180.69,452715.8006,1703270.7380000001,7070052.909,23878609.08546595,443878.82987499,3651735.984372101,-1799489.6,-3245412.107912634,132593109.7,237462857.9,37102930.45,36003341.34,Aceptado
1744163.1849734443,90294694.9,232319.6477,860896.7408,7643612.097,73141669.82,835861.9279,16300706.47,12987397.56,-1055217.7859999998,106858864.56770928,32793743.3,48796722.23,24729336.06,Aceptado
12861443.56,38318169.85,11379192.37,4163885.8819999998,896938.6007,89201853.91,640374.244,6438916.555,12255164.54,-431645.8681,461722306.0,251278379.7,51588795.5,50927814.22,Aceptado
470525.6573,37000497.62,1058052.312,1352859.1478094405,-1751852.9170674267,61221895.77,443878.82987499,3651735.984372101,-735728.6556,-3753746.6360000004,125528415.2,209217354.6,34243338.81,40645231.7,Aceptado
59278.979739999995,16730354.59,18696.83645,123664.5132,7548041.47,7469286.377,127151.9714,1250825.376,3422158.438,-6863538.745,43738221.78,21432198.53,1855081.27,2151453.67,Aceptado
98665.31385,42709653.34,1579580.58,682755.8797,8681993.124,80578197.25,530962.5084,1672092.532,9309401.091,-7465477.154,151853821.6,162474346.2,16585286.58,23804521.23,Aceptado
85804.41662999999,580.696059,80824.41895,527922.9468,-4797332.698,48728.83797,133822.0172,57854.976039999994,-2272688.425,1133996.414,106858864.56770928,159304449.44020227,15113218.086732317,1972339.957,Aceptado
6096323.985,23431439.01,23131861.88,5050605.443,-3916694.34,96059727.18,369505.3417,11366309.35,11830365.19,-3099349.4269999997,106858864.56770928,1431763514.0,76453717.15,41204965.93,Aceptado
844148.3526,1954568.9319999998,2235731.2,2484445.835,-1751852.9170674267,17205489.72,105949.3414,3651735.984372101,845936.3104,-2477977.483,73074445.92,159304449.44020227,8081909.129,11728129.2,Sospechoso
411635.9495,12177565.32,139091.2717,145238.006,1568640.733,15131420.1,688098.5490000001,3591075.248,12543349.1,-3245412.107912634,42599701.54,53270076.47,2380774.891,6539748.573,Sospechoso
2517705.071,7048240.167,14254747.99,2928274.1610000003,-5130292.52,52436707.85,443878.82987499,2679412.258,9041948.351255577,-3374514.2630000003,196954159.8,477862598.2,35013993.83,33537640.7,Sospechoso
48766.28243,7876447.9629999995,4719144.528940596,8257.677502,8056432.828,12894301.39,322989.1799,3651735.984372101,659067.086,-5793883.869,8472837.411,7328149.807999999,3194807.2660000003,5263681.508,Aceptado
186464.1825,4759.705063,2080829.907,1621471.824,-9184258.317,496215.102,111110.5655,435421.5233,9041948.351255577,-3245412.107912634,34761573.0,8464339.223,15113218.086732317,2324311.455,Sospechoso
112368.1988,1736203.78,1191547.263,435644.9174,5797939.146000001,8412183.676,127799.5681,216995.1308,-491919.0262,-1250658.129,26025199.44,13395712.6,12714614.95,10857438.85,Aceptado
902746.8252,5119676.241,24054.26811,259138.5343,-512708.2918,1451812.7230000002,79983.08626,575352.0459,-6257955.87,-3245412.107912634,14664830.07,29370985.94,1549138.708,5935709.011,Aceptado
34499.7398,9852078.197999999,569933.7301,134003.39,7637135.076,18596318.67,824258.9985,3836113.22,15641677.81,-8055650.6110000005,29983928.03,159304449.44020227,2641797.81,2331088.241,Aceptado
605806.2461,61275645.25,660970.7169,3670349.988,4487997.692,42862312.58,971991.672,649655.0321,19765989.16,-4142444.26,395518207.4,159304449.44020227,69249879.18,59386771.76,Aceptado
66096.5831,9237263.143541662,43596.376189999995,382053.5875,7394752.192000001,4344739.1680000005,105636.0236,3121668.736,9041948.351255577,-7168594.009,31265107.65,25533041.01,401174.2278,801565.9194,Aceptado
44130.34027,6036593.299,14004.01193,13850.0415,-1751852.9170674267,3364818.505,329864.0535,679731.4738,-11075668.06,-3245412.107912634,3156391.9669999997,3513860.0310000004,3863932.642,3416391.003,Aceptado
5743688.098999999,56608634.72,4719144.528940596,2524013.62,1881095.438,177703469.4,443878.82987499,12480941.91,19929975.23,-5716007.612000001,468534281.6,1214401833.0,62437906.0,55229857.82,Aceptado
347146.8128,499736.9051,956130.8928,1352859.1478094405,-4622821.023,5048699.065,92598.39916,923117.4348,6943659.464,492286.3385,106858864.56770928,24577536.79,15113218.086732317,9332467.304,Aceptado
1526063.83,612921.5146,402705.5187,2141921.829,-9716638.25,1882097.475,295652.7229,4357234.833000001,10434677.04,-3245412.107912634,64641958.99,159304449.44020227,1621913.227,2688671.083,Sospechoso
2733390.4669999997,18393426.21,6399444.707,4013865.422,-3851192.3030000003,76304679.2,424343.6292,8787062.145,24026333.76,-2971184.787,478478127.4,251308668.0,15113218.086732317,14809397.148454411,Aceptado
144148.9295,10613424.62,4719144.528940596,1382797.251,-1751852.9170674267,23878609.08546595,66869.25062,1019276.84,5734757.535,-2834997.4839999997,115429630.0,63894005.93,13571787.92,13020695.91,Aceptado
988436.1240000001,27518814.5,8704491.817,439444.3624,1058794.325,97233685.3,1540995.955,7379340.601,24808371.72,-8377281.77,106858864.56770928,366286873.8,17988989.55,14809397.148454411,Aceptado
218022.138,1232926.024,292318.5765,346450.2489,-170673.5237,9445013.608,151642.8618,1087874.396,853843.4194,-2049326.1709999999,18753728.47,30548035.25,10090115.02,10257863.93,Aceptado
12059142.34,6252100.432,60474995.85,2542987.568,-10537034.96,54259309.15,1213641.527,5739811.469,19796718.66,-1266185.23,250841701.4,187748344.2,15113218.086732317,37771935.69,Aceptado
99394.39067000001,8418411.658,70244.45421,201003.9308,3340164.639,19014297.48,443878.82987499,1726519.358,7376811.027000001,-6311199.065,47257832.46,61916937.96,15113218.086732317,14809397.148454411,Aceptado
2357179.893,969842.9554,5416010.437999999,1399078.374,-1751852.9170674267,20292299.82,719777.6459,3501433.1810000003,9041948.351255577,-624784.6366,150290126.4,23603349.78,15113218.086732317,14480953.05,Aceptado
109328.9067,7111393.914,71751.34131,190336.7999,-1751852.9170674267,3177095.9239999996,106737.6741,1358621.914,-3445750.8430000003,-4407443.851,14900713.81,27006478.86,7878010.749,14809397.148454411,Aceptado
341639.0796,1771967.7230000002,223313.5007,99744.4528,-2536201.941,4179366.443,321595.9858,3651735.984372101,9041948.351255577,-3747588.4960000003,14698000.97,20929410.09,15113218.086732317,7871177.071,Sospechoso
3408114.7860000003,9237263.143541662,775859.9956,801456.1088,-1751852.9170674267,9917788.265,928542.7862,3418626.608,9041948.351255577,-1309491.396,106858864.56770928,159304449.44020227,10218073.02,14809397.148454411,Aceptado
1744163.1849734443,3525516.2939999998,2385200.797,3916165.5319999997,4470231.629,10355535.29,167934.9311,3651735.984372101,-11707544.41,593175.2327,47966307.92,102506396.8,15113218.086732317,21788838.9,Aceptado
250955.3488,9237263.143541662,2534469.083,2145662.386,5308974.632,26062493.15,443878.82987499,553463.3605,7196321.107999999,-198938.5305,130629829.8,50045496.03,29972020.62,28670889.88,Aceptado
63854.883089999996,721133.6546,31071.051480000002,72682.87515,5828585.231000001,23878609.08546595,34268.46099,122268.5807,-13303506.24,-1730757.5580000002,106858864.56770928,4579871.548,1867452.8530000001,1592470.823,Aceptado
1744163.1849734443,1319120.494,347395.6726,561422.1837,2751131.829,3031644.878,68102.81595,292922.1442,-1099048.881,-1256018.637,23774945.95,14296442.46,4965543.501,6327397.362000001,Aceptado
161069.9644,1861320.6719999998,2636514.761,2223317.065,3588172.528,20154479.83,229566.0531,484773.5558,6361820.982000001,-1362091.12,90216672.0,67054267.52,17629762.03,14809397.148454411,Aceptado
483177.5547,81637032.74,831336.202,750758.7346,8068714.063999999,123671523.3,443878.82987499,6051624.741,12531705.18,-6735236.958,255216796.2,455166297.7,55290082.15,14809397.148454411,Aceptado
1613924.721,13897557.0,25025974.65,4633430.916999999,-1136526.023,56102618.58,1366946.6830000002,6972913.752,9041948.351255577,-4852295.491,335832913.1,361431502.5,18503312.5,14809397.148454411,Sospechoso
214320.7911,9237263.143541662,2827124.0760000004,460754.1092,5636911.885,57334785.68,512094.2001,1730687.4980000001,9041948.351255577,-5404127.547,80756885.71,132817163.0,33320527.83,26497577.41,Aceptado
2616795.599,18564021.27,401385.6288,1929500.208,606995.706,7781520.731000001,699045.7145,8093604.272999999,3349758.646,-1495316.5780000002,98560459.44,76677185.52,13115899.86,8279874.971,Aceptado
12626458.38,38446525.79,4719144.528940596,5017873.7360000005,-5475598.727000001,134946297.7,2037862.2780000002,3651735.984372101,22194424.07,-8150923.669,106858864.56770928,7601900176.0,43799068.35,31160591.07,Aceptado
73287.99738,38078.1193,359968.5824,464776.4521,2538391.4930000002,431647.0037,75422.77374,240257.0797,9041948.351255577,-1094082.445,4292527.841,5391566.629,938435.2988,14809397.148454411,Aceptado
1744163.1849734443,773636.9473,354256.2704,514009.945,3509487.357,2773679.925,576637.1857,1739045.989,9041948.351255577,-2842502.1139999996,5230488.57,30933666.65,3971266.982,2712898.9310000003,Aceptado
726489.2022,1663067.217,1126983.777,1448307.0659999999,-1751852.9170674267,9812230.319,931539.3253,1563168.68,21485708.38,-1189498.866,106858864.56770928,38045080.55,12539771.73,14809397.148454411,Sospechoso
263698.7157,1933263.7240000002,835240.4492,194645.8161,3397756.026,12648693.96,434616.6334,3651735.984372101,-1274291.075,-3112902.3210000005,10987116.46,28023672.48,7122012.955,14809397.148454411,Aceptado
161594.1442,945935.3012,4719144.528940596,220343.5261,1745806.654,1958694.668,191776.3825,354741.9018,4884191.05,395570.7953,29327506.56,2560728.8819999998,5623524.05,14809397.148454411,Aceptado
9209642.344,14900923.82,4719144.528940596,1533741.459,-11253140.34,42015473.21,301664.6564,3114955.315,18841421.84,-1436308.372,318239226.2,159304449.44020227,27587627.36,37100410.84,Aceptado
2740057.775,27288282.19,1756884.841,571982.7614,3329134.787,53984774.35,443878.82987499,3574929.566,1929412.726,-3651913.646,77256947.51,238630485.3,34468526.14,35460533.8,Aceptado
1744163.1849734443,9237263.143541662,4719144.528940596,271968.9413,4639258.846,46110799.58,724770.7695,5346520.28,10379418.73,-3245412.107912634,151951902.1,159304449.44020227,24934178.47,21332619.66,Aceptado
1608120.747,8043302.212,15039852.53,5081947.318,-66351.24072999999,25248688.41,548745.8442,5753510.205,11689053.24,-1133888.122,220904849.6,150114577.1,15113218.086732317,16396342.46,Aceptado
167336.7509,8232280.682999999,29899.68797,78075.21652,5104312.281,9513874.457999999,220198.1287,1791738.205,4067074.1989999996,-3245412.107912634,31880658.49,8748505.831,15113218.086732317,5344034.588,Aceptado
531290.5977,52100249.22,304885.9569,2024246.743,8141971.238,37796025.29,181246.9232,1816905.6809999999,-2150524.635,-3245412.107912634,142100282.1,353432105.8,28839389.24,31411198.4,Aceptado
8727527.987,655461.6799,40202502.51,4353230.574,-12486218.04,26634595.16,956612.5943,3651735.984372101,9041948.351255577,-3245412.107912634,177656365.0,131385021.3,27570344.37,14809397.148454411,Sospechoso
1744163.1849734443,9237263.143541662,337803.2356,1352859.1478094405,1190942.365,143226.2392,303758.2193,282251.8996,9041948.351255577,-1913711.491,469195.3916,2629285.77,15113218.086732317,14809397.148454411,Aceptado
149482.2561,8238054.219,454964.1345,677853.652,7359303.234,14616965.48,158861.1813,3651735.984372101,-7352.763223999999,-331084.7093,62324750.27,26767609.55,18959107.79,31597011.8,Aceptado
183939.6889,9237263.143541662,89330.86755,109511.2799,6101893.3,23878609.08546595,64549.54782000001,1736482.5380000002,4633887.106000001,-5175857.148,106858864.56770928,11834940.32,3067793.662,3568309.92,Aceptado
1744163.1849734443,2779.6408469999997,5104283.313999999,1495054.1369999999,-12658682.74,6101185.785,29118.382019999997,1027368.3509999999,10442974.77,-1724695.581,43875805.99,29634607.17,5585475.927,14809397.148454411,Sospechoso
125999.8672,4212951.761,528452.7018,1531527.497,6583557.669,23878609.08546595,319263.6242,752040.1773,-381609.9466,-678913.3401,42524826.85,21409437.41,11117839.56,6674794.457,Aceptado
1832319.7019999998,20876961.75,64659.51824,817880.8670000001,39246.74483,16322222.26,342421.7562,1367076.892,9041948.351255577,-1195611.004,106858864.56770928,68461026.82,15981069.35,22848235.44,Aceptado
531450.1999,56982719.13,1039183.4,2405035.19,8668817.236,49082965.41,443878.82987499,3651735.984372101,-1264142.721,-3990139.547,151437908.7,163562764.6,21455076.49,16907350.17,Aceptado
534004.5992,34734056.79,338156.6183,615917.2515,6526892.464,41876586.91,263131.4535,8728817.213,8274239.558999999,-6524801.753,115312907.5,99782659.21,11287049.0,8721062.457999999,Aceptado
1744163.1849734443,9237263.143541662,9177117.671,2103455.076,1479960.9519999998,119208628.6,1601497.344,8673909.787999999,23904922.08,-3245412.107912634,477487064.6,371953457.3,73083980.79,58061382.3,Aceptado
4165293.409,9458700.113,2507687.894,2685419.5919999997,-3595423.733,17034614.5,536343.6463,3778700.6580000003,8683014.975,-1438110.4540000001,147978734.1,118370959.3,11624181.57,19117431.17,Aceptado
2573437.127,19199970.19,370024.1843,1042308.05,-1751852.9170674267,46466217.04,495260.9009,5627245.35,20836213.65,-3820494.0919999997,287058947.1,209199303.0,15113218.086732317,25322582.0,Sospechoso
1049264.275,37216589.67,656134.7915,1019215.912,4499483.152,60932288.64,443878.82987499,4248676.339,9041948.351255577,-4269365.978,133184205.2,437512559.6,49680512.14,34612175.64,Aceptado
221044.2016,1697570.227,69996.87931,801397.1209,-1751852.9170674267,1364559.7380000001,76074.23932000001,17775.32283,9041948.351255577,1179712.821,28912292.85,159304449.44020227,15493385.15,18275099.11,Aceptado
15979.390809999999,9237263.143541662,20570.39881,208541.1937,5028425.511,79547.44372000001,13504.0378,3647.9173159999996,-13941918.69,757053.6835,2654284.59,159304449.44020227,15113218.086732317,1333899.288,Aceptado
494549.3979,43201395.83,116633.0114,1352859.1478094405,-1751852.9170674267,9348765.713,323710.5645,4315047.022,8966982.808,-3361179.921,192366750.7,68114698.91,15113218.086732317,8137693.397999999,Aceptado
1744163.1849734443,5513604.11,134238.7021,897138.571,2284972.965,4874845.576,431087.006,1219613.669,5577102.136,-2473998.921,44001020.22,50955841.36,7902561.892999999,9635350.086000001,Aceptado
2596478.037,10283.42176,213824.0242,1352859.1478094405,-9021792.636,23878609.08546595,91582.10741,3651735.984372101,9041948.351255577,1188261.884,2420260.438,7162051.301,2289191.379,3067068.1810000003,Aceptado
420192.3407,1316386.817,4719144.528940596,1352859.1478094405,1526944.3869999999,796156.8398,443878.82987499,22825.90111,-11158268.62,-70621.45289,5163010.873,159304449.44020227,3016167.1610000003,10434630.18,Aceptado
1744163.1849734443,6911987.597999999,4719144.528940596,3099018.0719999997,-5294226.058999999,26290498.04,179737.7214,2549799.747,11870653.64,-2462603.461,192878264.5,235367051.4,18676197.1,20980732.27,Sospechoso
104551.0881,183641.7041,107868.5956,1352859.1478094405,6033086.642000001,240359.9862,443878.82987499,2447.867847,-17536201.54,1178978.0,10646635.34,5381565.875,8404994.802000001,12149482.91,Aceptado
1744163.1849734443,9237263.143541662,4719144.528940596,336329.8292,2388128.86,27889864.86,124426.2694,1141489.217,-4092966.508,-867279.5361,44999416.65,20495385.89,21432776.54,18232350.1,Aceptado
1968683.72,10275.8939,15849570.57,4326246.985,-9711152.038999999,7345921.252,131015.4023,495277.615,9041948.351255577,-3245412.107912634,64472473.42,35862165.12,24459091.37,20407629.05,Sospechoso
2462961.994,73035817.32,793102.1824,1931046.936,4526925.794,104986945.0,443878.82987499,8223511.001,14326803.49,-4979320.303,371524898.9,923700566.1,65665469.76,45539333.95,Aceptado
13138670.6,2924098.2169999997,25650007.75,2079865.726,-1751852.9170674267,23878609.08546595,443878.82987499,3651735.984372101,16898251.58,874786.2135,269861599.0,175099217.2,121030623.6,64657212.93,Aceptado
7966600.762999999,9622482.215,6222180.993,1352859.1478094405,-6461756.313999999,22252918.74,443878.82987499,4245959.487,9041948.351255577,-2794984.5130000003,112432975.3,1656485910.0,24158089.66,28821369.31,Sospechoso
2079329.381,2138346.256,4719144.528940596,337866.6615,-8123704.286,15764342.98,1168348.741,5278196.012,7425825.884,-3245412.107912634,37481619.3,39345805.92,14208343.14,11984151.76,Sospechoso
1744163.1849734443,65913490.59,12082308.52,2808182.561,4200568.659,124379170.6,1251292.0420000001,3651735.984372101,7802768.552,-4600962.766,106858864.56770928,2335055337.0,79233603.16,14809397.148454411,Aceptado
100173.2536,9237263.143541662,4719144.528940596,1659043.563,2576451.296,7663678.455,398652.3839,795152.3683,16919622.05,-2958906.7,132848702.6,37593648.99,8138176.072000001,9100249.606,Sospechoso
1744163.1849734443,1418510.128,889279.3134,1352859.1478094405,1087341.7,10413106.77,46384.40703,218575.6618,-8648566.54,-1580642.989,29128245.79,165379355.9,18032447.34,14809397.148454411,Aceptado
2584020.328,30335976.74,6354143.727999999,2982349.378,-4741793.781,83138092.87,520833.8614,10227090.08,28352033.43,-4946171.9969999995,106858864.56770928,541577874.5,50840590.14,32827479.41,Aceptado
190554.7703,3142819.481,4719144.528940596,319900.9914,-1751852.9170674267,20188835.24,28112.7538,2011660.773,2708930.735,-2696376.1380000003,63647526.97,6985341.443,5993434.891,14809397.148454411,Sospechoso
595197.2355,11305551.15,6523819.458,1753147.938,6861513.909,37056421.94,672814.0526,1964428.9209999999,1380068.9919999999,605940.3696,106858864.56770928,26145207.14,15113218.086732317,29958641.86,Aceptado
241981.9204,42592380.37,502204.0858,1148734.403,6052749.187000001,46863636.57,793370.3538,2276111.015,21629126.34,-7760087.029,230009752.9,159304449.44020227,14041556.16,21702070.8,Aceptado
299870.43,29539053.14,47767.82084,1352859.1478094405,8117243.385,23878609.08546595,102895.0052,83215.43697000001,-9951719.439,-3245412.107912634,29291792.02,230515174.4,7298514.157000001,27780425.69,Aceptado
7543671.034,12608904.81,18762690.49,891884.6385,-1751852.9170674267,102477090.6,3085459.748,10266990.98,11487240.96,-2765948.235,106858864.56770928,210408244.4,54611404.54,39375019.0,Aceptado
4996754.368,47420130.14,4719144.528940596,1077273.638,296211.5395,162609981.6,1912302.948,22113743.14,9041948.351255577,-6723993.262999999,409616047.7,288953356.9,54439057.66,32404199.91,Aceptado
5007164.363,9596335.566,681545.5429,5807185.342,-8495108.014,23878609.08546595,140706.1987,6739059.279,14688077.48,1036684.579,419661062.8,66223497.61,40934031.41,22870922.34,Aceptado
56597.88794,7037622.953,163346.9737,1352859.1478094405,8122909.664,12528163.66,191936.18600000002,6671404.405,759323.9615,-8179059.996,12586550.99,17510828.48,125113.2946,260928.6441,Aceptado
6270653.106000001,9237263.143541662,5440985.115,1352859.1478094405,-9351726.567,23878609.08546595,418517.6596,2116820.325,23896977.75,-2171254.19,439401240.9,1125984353.0,85232579.59,73610957.08,Aceptado
451416.3179,9237263.143541662,75141.5074,1352859.1478094405,7691762.921,26109467.78,185560.2556,3461573.012,7580983.63,-3245412.107912634,228561640.5,27552944.42,15002949.17,13288629.08,Aceptado
2970139.735,19357721.59,967245.687,1690695.0869999998,1678592.4519999998,35156397.84,1102908.629,3824071.695,4133170.659,-3044400.9930000002,114293319.0,273181857.0,15113218.086732317,14809397.148454411,Aceptado
58899.04969,9237263.143541662,11247.82396,1173322.297,-1751852.9170674267,230373.2338,91926.76878,85515.47077,9041948.351255577,-2293277.133,46840052.62,13742297.39,622618.2525,1719310.282,Aceptado
1744163.1849734443,6731355.058999999,297828.2969,523365.0055,7548794.625,3426068.5110000004,125061.7219,129514.7287,9041948.351255577,-410556.584,27071230.92,11168952.88,8596751.243999999,11312868.65,Aceptado
297833.4821,5479336.051,398691.8111,1353237.593,2521963.09,13797435.32,443878.82987499,213459.8115,4715046.985,28362.66418,102466156.4,47592300.04,15113218.086732317,25885729.83,Aceptado
61819.94045,18036703.0,114315.1656,128217.9876,8645983.581,23878609.08546595,218269.0823,2190872.571,-4256234.654,-4109490.124,17013136.88,8945021.419,5392212.22,3042732.499,Aceptado
99222.84047000001,14128584.26,179047.1187,523795.339,7291971.75,20817862.42,186383.051,3651735.984372101,-1616596.644,-2180837.9930000002,39646945.66,91792360.73,32395871.02,27349103.85,Aceptado
620758.6522,157803.9066,4719144.528940596,1352859.1478094405,-1751852.9170674267,4042065.4930000002,169960.0364,1047685.995,-5545298.197000001,122731.0464,17098581.46,13432614.49,6636162.187000001,6193074.067000001,Aceptado
35480.992119999995,1181807.318,4719144.528940596,52078.15413,6093754.552,910535.1165,44141.65637,3651735.984372101,-5376639.524,-3245412.107912634,11432577.19,2163726.9469999997,15113218.086732317,4903154.29,Aceptado
182687.3566,45623.960719999995,969959.6897,1352859.1478094405,-833167.212,1570723.7969999998,168499.8057,184022.7919,-2651398.377,-3408878.061,1766304.3869999999,13244804.65,15113218.086732317,3678769.133,Aceptado
1744163.1849734443,6013573.113,699370.4587,101407.079,4891800.661,24116807.61,443878.82987499,676793.0963,-3238789.2139999997,-1199936.375,106858864.56770928,16351958.62,12371661.55,22878031.52,Aceptado
1745282.1090000002,1426531.6369999999,14252464.9,4997437.663,-6820798.384,29273758.27,248813.4858,5934580.217999999,16387127.35,-1494179.256,260407364.1,89525782.68,15113218.086732317,14809397.148454411,Sospechoso
